What gender do you identify with?,What is your age?,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? (for Democrats and Republicans, probe: strong [Democrat/Republican] or not very strong [Democrat/Republican]?)","[If Q3 = Republican] If scientific evidence proved that the policies favored by Democrats improved the economy, lowered crime, and made citizens more happy, would you become a Democrat?","[If Q3 = Democrat] If scientific evidence proved that the policies favored by Republicans improved the economy, lowered crime, and made citizens more happy, would you become a Republican?","Would you say you are liberal, conservative, or moderate? (for liberals and conservatives, probe: strong [liberal/conservative] or not very strong [liberal/conservative]?)","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q7OTH1,"What is your race? (white, black, latino, asian, other)",Q8OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Do you believe the government should make sure that Americans have access to clean air and drinking water?,Do you believe that voting in federal elections should be optional or mandatory?,Do you believe it is morally wrong to endorse negative stereotypes about a group of people based on where they were born?,Do you agree or disagree with the following statement: People need to have more respect for authority in this country.,And do you agree or disagree with this next statement: Nobody deserves a free handout from the government.,"Would you say that your opinions on climate change policy are well-informed, or not very well-informed?",Would you support the elimination of the Environmental Protection agency?,"In general, do you believe that American businesses should resist government regulations that they perceive to be unfair?",Do you believe that nuclear power plants produce carbon emissions that contribute to climate change?,"If more people turned out to vote in elections, do you think it would help the Democrats more, help the Republicans more, or make no difference?","Do you believe the government should do more to help small, working class towns in America's heartland?","In general, would you say that people from the south are more racist than people from other parts of the country?"
Male,47,45-54,Strong Republican,Yes,,Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Disagree,Not Very Well-informed,No,Yes,No,Make no Difference,Yes,No
Female,69,65+,Not very Strong Republican,Yes,,Moderate,Some college,,White,,Strongly Disapprove,Yes,Optional,No,Somewhat Agree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Male,20,18-24,Not very Strong Republican,No,,Strong Conservative,Some college,,Latino,,Strongly Approve,Yes,Optional,No,Strongly Agree,Somewhat Agree,Well-informed,No,Yes,No,Help Democrats more,Yes,No
Male,21,18-24,Independent,,,Moderate,Some college,,Asian,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Not Very Well-informed,No,Yes,No,Make no Difference,Yes,No
Male,37,35-44,Independent,,,Moderate,High school or less,,Black,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Agree,Strongly Disagree,Well-informed,DK/REF,Yes,Yes,Make no Difference,Yes,Yes
Male,20,18-24,Independent,,,Moderate,Some college,,White,,Somewhat Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,Yes,DK/REF,Make no Difference,Yes,No
Female,80,65+,Independent,,,Not Very Strong Liberal,Some college,,Black,,Strongly Disapprove,Yes,Optional,No,Somewhat Agree,Somewhat Agree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Male,63,55-64,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,DK/REF,No,Strongly Agree,Strongly Agree,Well-informed,Yes,DK/REF,No,Help Republicans more,No,Yes
Male,42,35-44,Strong Republican,No,,DK/REF,Some college,,Black,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Male,74,65+,Independent,,,Not Very Strong Conservative,Some college,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Somewhat Agree,Well-informed,No,Yes,No,Make no Difference,Yes,Yes
Female,59,55-64,Independent,,,Moderate,Graduate degree,,White,,DK/REF,Yes,Mandatory,No,Strongly Agree,Strongly Agree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,No
Female,68,65+,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Mandatory,No,Strongly Agree,Strongly Agree,Well-informed,No,No,DK/REF,Make no Difference,Yes,Yes
Female,86,65+,Strong Republican,DK/REF,,DK/REF,DK/REF,,White,,Strongly Approve,Yes,Optional,DK/REF,Strongly Agree,Strongly Agree,DK/REF,DK/REF,DK/REF,No,Help Republicans more,DK/REF,No
Male,87,65+,Strong Democrat,,No,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Somewhat Agree,Well-informed,No,No,Yes,Make no Difference,Yes,No
Male,67,65+,Independent,,,Strong Conservative,College degree,,White,,Somewhat Approve,No,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,Yes,DK/REF,No,Make no Difference,No,No
Female,78,65+,Strong Democrat,,No,Strong Liberal,High school or less,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,DK/REF
Male,24,18-24,Independent,,,Not Very Strong Conservative,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Somewhat Disagree,Well-informed,No,No,Yes,Make no Difference,Yes,No
Female,71,65+,Independent,,,Not Very Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,DK/REF,Well-informed,No,Yes,No,Help Democrats more,DK/REF,DK/REF
Female,55,55-64,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,DK/REF,DK/REF,Well-informed,No,No,No,Help Democrats more,No,No
Male,50,45-54,DK/REF,,,DK/REF,Graduate degree,,DK/REF,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Somewhat Disagree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,Yes
Female,94,65+,DK/REF,,,Moderate,DK/REF,,DK/REF,,Somewhat Disapprove,DK/REF,Optional,DK/REF,DK/REF,DK/REF,Not Very Well-informed,DK/REF,DK/REF,DK/REF,Make no Difference,DK/REF,No
Male,60,55-64,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Mandatory,No,Strongly Agree,Strongly Agree,Well-informed,DK/REF,No,No,Help Republicans more,Yes,No
Male,71,65+,Independent,,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Mandatory,No,Strongly Agree,Strongly Agree,Not Very Well-informed,Yes,DK/REF,Yes,Help Republicans more,DK/REF,No
Female,18,18-24,Strong Democrat,,No,Moderate,High school or less,,White,,Somewhat Disapprove,Yes,Mandatory,Yes,Strongly Agree,Somewhat Agree,Well-informed,DK/REF,Yes,Yes,Help Democrats more,Yes,No
DK/REF,90,65+,Not Very strong Democrat,,No,Strong Liberal,Some college,,White,,Somewhat Approve,Yes,Mandatory,DK/REF,Strongly Agree,Strongly Agree,Well-informed,Yes,DK/REF,Yes,Help Democrats more,Yes,Yes
Male,80,65+,DK/REF,,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,DK/REF,Well-informed,Yes,No,No,Make no Difference,No,No
Male,70,65+,Independent,,,Strong Conservative,High school or less,,Black,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,Not Very Well-informed,Yes,Yes,DK/REF,DK/REF,Yes,No
Female,50,45-54,Independent,,,Moderate,Graduate degree,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Somewhat Agree,Not Very Well-informed,Yes,DK/REF,Yes,DK/REF,Yes,DK/REF
Female,63,55-64,Strong Democrat,,No,Moderate,College degree,,Other: SPECIFY,Native American,Somewhat Disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,Yes,No,Make no Difference,Yes,DK/REF
Female,90,65+,Independent,,,Moderate,Some college,,White,,Somewhat Approve,Yes,Optional,DK/REF,Somewhat Agree,Somewhat Agree,Well-informed,Yes,Yes,No,Make no Difference,DK/REF,Yes
Female,80,65+,Independent,,,Not Very Strong Conservative,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Well-informed,No,No,Yes,Help Democrats more,No,No
Male,60,55-64,Strong Democrat,,No,Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Disagree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Female,62,55-64,Strong Democrat,,No,Strong Liberal,Some college,,White,,Strongly Disapprove,Yes,Optional,No,Strongly Agree,DK/REF,Well-informed,No,Yes,No,Help Democrats more,Yes,DK/REF
Male,65,65+,Independent,,,Moderate,College degree,,Other: SPECIFY,Mixed,Somewhat Approve,Yes,Optional,Yes,Somewhat Agree,Strongly Agree,Well-informed,Yes,No,No,Make no Difference,No,No
Female,56,55-64,Strong Republican,No,,Moderate,High school or less,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,No,No,Yes,Make no Difference,Yes,DK/REF
Female,79,65+,Strong Democrat,,No,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,No,Yes,Help Democrats more,DK/REF,Yes
Male,50,45-54,Strong Republican,No,,Moderate,Some college,,White,,Somewhat Approve,Yes,Optional,No,Somewhat Disagree,Somewhat Agree,Well-informed,No,No,No,Help Democrats more,Yes,Yes
Male,86,65+,Independent,,,DK/REF,Graduate degree,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,DK/REF,Not Very Well-informed,DK/REF,No,DK/REF,Make no Difference,No,No
Female,59,55-64,Strong Democrat,,No,Moderate,High school or less,,White,,Strongly Disapprove,Yes,Optional,Yes,DK/REF,DK/REF,Well-informed,No,DK/REF,Yes,Help Democrats more,Yes,No
Male,81,65+,Not very Strong Republican,Yes,,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Mandatory,No,Strongly Agree,Strongly Agree,Well-informed,No,No,DK/REF,Help Democrats more,DK/REF,No
Male,79,65+,Strong Democrat,,No,Moderate,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,Well-informed,No,DK/REF,No,Help Democrats more,Yes,No
Female,85,65+,Strong Republican,No,,Moderate,Some college,,White,,Somewhat Approve,Yes,DK/REF,No,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,No
Male,66,65+,Strong Republican,No,,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,No,Yes,Make no Difference,No,No
Female,53,45-54,Strong Democrat,,No,Moderate,Some college,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,DK/REF
Male,60,55-64,Independent,,,Strong Conservative,College degree,,White,,Strongly Approve,DK/REF,DK/REF,DK/REF,Strongly Agree,DK/REF,Well-informed,No,DK/REF,Yes,DK/REF,DK/REF,DK/REF
DK/REF,36,35-44,DK/REF,,,DK/REF,High school or less,,DK/REF,,Neither approve nor disapprove,Yes,Optional,No,Strongly Disagree,DK/REF,DK/REF,Yes,Yes,DK/REF,Make no Difference,No,No
Female,84,65+,Strong Republican,DK/REF,,Moderate,Graduate degree,,White,,DK/REF,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Not Very Well-informed,No,Yes,Yes,Help Democrats more,Yes,DK/REF
Male,63,55-64,DK/REF,,,Not Very Strong Liberal,Some college,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Not Very Well-informed,No,DK/REF,No,Help Republicans more,Yes,No
Female,60,55-64,Independent,,,Moderate,High school or less,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Not Very Well-informed,No,DK/REF,Yes,Make no Difference,Yes,DK/REF
Female,76,65+,Strong Democrat,,DK/REF,DK/REF,College degree,,White,,Strongly Disapprove,Yes,Mandatory,Yes,Somewhat Disagree,DK/REF,Well-informed,No,DK/REF,No,Help Democrats more,Yes,DK/REF
Female,80,65+,Strong Democrat,,No,Not Very Strong Conservative,Some college,,White,,DK/REF,No,Optional,No,Somewhat Disagree,Strongly Disagree,Well-informed,No,No,No,DK/REF,Yes,No
Female,81,65+,Independent,,,Moderate,High school or less,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Strongly Disagree,Well-informed,No,No,DK/REF,Make no Difference,Yes,No
Male,47,45-54,Strong Democrat,,No,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,No,Yes,Yes,Help Democrats more,Yes,No
Female,89,65+,Strong Democrat,,No,Moderate,College degree,,White,,Strongly Disapprove,Yes,Optional,No,Somewhat Agree,Strongly Agree,Not Very Well-informed,Yes,Yes,Yes,Make no Difference,Yes,No
Female,65,65+,Independent,,,Moderate,Some college,,White,,Somewhat Disapprove,Yes,Optional,No,Strongly Agree,Somewhat Agree,Not Very Well-informed,No,DK/REF,Yes,Make no Difference,Yes,No
Female,56,55-64,Independent,,,DK/REF,High school or less,,Black,,Neither approve nor disapprove,Yes,Optional,No,Somewhat Agree,Strongly Disagree,Not Very Well-informed,DK/REF,No,DK/REF,Make no Difference,DK/REF,No
Female,63,55-64,DK/REF,,,DK/REF,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Disagree,DK/REF,No,DK/REF,Yes,DK/REF,Yes,No
Male,63,55-64,Independent,,,DK/REF,College degree,,DK/REF,,Somewhat Disapprove,Yes,Mandatory,Yes,DK/REF,Somewhat Disagree,Well-informed,No,No,Yes,DK/REF,Yes,No
Female,81,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,DK/REF,Optional,Yes,Strongly Agree,Somewhat Agree,Well-informed,No,DK/REF,Yes,Help Republicans more,DK/REF,No
Female,59,55-64,Strong Democrat,,No,Strong Conservative,Some college,,Black,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Agree,Strongly Agree,Well-informed,No,No,Yes,Help Democrats more,Yes,Yes
Female,72,65+,Strong Democrat,,No,Strong Liberal,Graduate degree,,Other: SPECIFY,Mixed,Strongly Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,No,No,Make no Difference,Yes,No
Male,75,65+,Strong Republican,No,,DK/REF,Some college,,Latino,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,DK/REF,DK/REF,DK/REF,Help Democrats more,Yes,No
Female,45,45-54,Strong Democrat,,No,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,DK/REF,No,No
Female,29,25-34,Strong Democrat,,Yes,Strong Conservative,Some college,,Latino,,Somewhat Disapprove,Yes,Optional,No,Somewhat Agree,Somewhat Disagree,Well-informed,Yes,Yes,Yes,Make no Difference,Yes,No
Female,33,25-34,Independent,,,Moderate,College degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Disagree,Strongly Agree,Well-informed,No,Yes,No,Make no Difference,Yes,No
Female,60,55-64,Strong Republican,No,,Moderate,College degree,,White,,Strongly Approve,Yes,Mandatory,Yes,Somewhat Agree,Strongly Agree,Well-informed,Yes,No,Yes,DK/REF,Yes,No
Male,58,55-64,Strong Republican,No,,Strong Conservative,Some college,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Not Very Well-informed,Yes,Yes,No,Make no Difference,Yes,No
Female,52,45-54,Independent,,,Moderate,Graduate degree,,White,,Strongly Disapprove,No,Mandatory,Yes,Strongly Agree,DK/REF,Not Very Well-informed,No,Yes,Yes,Help Democrats more,Yes,Yes
Female,77,65+,Independent,,,DK/REF,College degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,DK/REF,DK/REF,Not Very Well-informed,No,DK/REF,DK/REF,Make no Difference,DK/REF,No
Female,62,55-64,Independent,,,Moderate,High school or less,,Black,,Neither approve nor disapprove,Yes,Optional,No,Strongly Agree,Somewhat Disagree,Well-informed,Yes,No,Yes,Make no Difference,Yes,No
Female,40,35-44,Strong Republican,No,,Moderate,Some college,,White,,Strongly Approve,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Well-informed,Yes,Yes,Yes,Make no Difference,Yes,No
Male,31,25-34,Independent,,,Moderate,Some college,,Black,,Strongly Disapprove,Yes,Optional,No,Strongly Disagree,Strongly Disagree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,Yes
Male,71,65+,DK/REF,,,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,Somewhat Agree,Strongly Disagree,Well-informed,No,No,Yes,Help Republicans more,Yes,DK/REF
Female,75,65+,Strong Republican,No,,Strong Conservative,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,Yes,No,Help Republicans more,Yes,No
Female,73,65+,Strong Democrat,,No,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,DK/REF,Strongly Disagree,Well-informed,No,No,Yes,Help Democrats more,Yes,No
Male,66,65+,DK/REF,,,DK/REF,College degree,,DK/REF,,Strongly Disapprove,Yes,Mandatory,No,Somewhat Disagree,Strongly Disagree,Well-informed,No,Yes,No,Make no Difference,Yes,No
Male,52,45-54,Independent,,,Moderate,Graduate degree,,White,,Somewhat Approve,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Not Very Well-informed,No,Yes,No,Help Republicans more,No,No
Male,69,65+,Strong Republican,No,,Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,No,No,Yes,Make no Difference,Yes,No
Male,23,18-24,Independent,,,Not Very Strong Liberal,Some college,,White,,Somewhat Disapprove,Yes,Optional,Yes,Somewhat Disagree,Somewhat Disagree,Well-informed,No,Yes,No,Make no Difference,Yes,No
Female,68,65+,Strong Democrat,,No,Strong Conservative,Some college,,Black,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,DK/REF,Not Very Well-informed,Yes,Yes,Yes,Help Democrats more,Yes,Yes
Male,40,35-44,DK/REF,,,Moderate,College degree,,White,,DK/REF,Yes,Optional,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,Yes,No,Yes,DK/REF,Yes,No
Female,60,55-64,Independent,,,Moderate,College degree,,White,,Somewhat Approve,Yes,DK/REF,Yes,Strongly Agree,Somewhat Disagree,Well-informed,No,No,DK/REF,Help Democrats more,Yes,No
Female,71,65+,Strong Republican,No,,Not Very Strong Liberal,High school or less,,White,,Strongly Approve,Yes,Mandatory,No,Strongly Agree,Strongly Disagree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Female,32,25-34,Independent,,,Moderate,High school or less,,White,,Neither approve nor disapprove,Yes,Mandatory,Yes,Strongly Agree,Somewhat Agree,Not Very Well-informed,Yes,Yes,Yes,Make no Difference,Yes,DK/REF
Male,54,45-54,Not very Strong Republican,No,,Not Very Strong Conservative,College degree,,White,,Strongly Approve,Yes,Mandatory,Yes,Strongly Agree,Somewhat Agree,Well-informed,No,No,Yes,Help Democrats more,Yes,No
Female,73,65+,DK/REF,,,Moderate,High school or less,,White,,Strongly Approve,Yes,Optional,Yes,Strongly Agree,Strongly Disagree,Well-informed,No,Yes,No,DK/REF,Yes,No
Male,60,55-64,Not very Strong Republican,No,,Moderate,Some college,,Latino,,Strongly Approve,Yes,Mandatory,Yes,Strongly Agree,Strongly Agree,Well-informed,Yes,No,Yes,Make no Difference,Yes,Yes
Male,75,65+,Independent,,,Moderate,Some college,,White,,Somewhat Approve,Yes,Optional,No,Somewhat Agree,Somewhat Disagree,Well-informed,No,No,No,Help Democrats more,Yes,DK/REF
Male,35,35-44,Independent,,,Strong Liberal,Graduate degree,,Latino,,Strongly Disapprove,Yes,Optional,Yes,Somewhat Agree,Somewhat Disagree,Well-informed,No,Yes,Yes,Help Democrats more,No,Yes
Male,35,35-44,Strong Democrat,,No,Moderate,Graduate degree,,Black,,Strongly Disapprove,Yes,Mandatory,No,Strongly Disagree,Strongly Disagree,Well-informed,No,No,Yes,Make no Difference,No,No
Female,48,45-54,Strong Democrat,,No,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,Yes,Yes,Help Democrats more,Yes,No
Male,49,45-54,Strong Republican,No,,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Optional,No,Strongly Agree,Strongly Agree,Well-informed,Yes,No,No,Make no Difference,Yes,No
Male,36,35-44,Strong Republican,No,,Strong Conservative,Graduate degree,,White,,Strongly Approve,DK/REF,Mandatory,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,No,No,No,Make no Difference,Yes,No
Female,50,45-54,Not very Strong Republican,No,,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Somewhat Disagree,Not Very Well-informed,No,No,No,Make no Difference,Yes,No
Male,61,55-64,Strong Republican,No,,Strong Conservative,College degree,,White,,Somewhat Approve,Yes,Optional,Yes,Somewhat Agree,Somewhat Agree,Well-informed,No,Yes,No,Help Democrats more,No,No
Female,41,35-44,Not Very strong Democrat,,No,Moderate,College degree,,White,,Neither approve nor disapprove,Yes,Optional,Yes,DK/REF,Somewhat Disagree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,No
Male,50,45-54,Strong Democrat,,No,Strong Liberal,Some college,,Black,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Agree,Strongly Disagree,Not Very Well-informed,Yes,Yes,Yes,Help Democrats more,Yes,DK/REF
DK/REF,71,65+,Independent,,,Strong Conservative,College degree,,DK/REF,,Strongly Approve,Yes,Mandatory,Yes,Strongly Agree,Strongly Disagree,Not Very Well-informed,No,Yes,DK/REF,DK/REF,Yes,No
Female,60,55-64,Independent,,,Moderate,Some college,,White,,Somewhat Approve,Yes,Optional,Yes,Strongly Agree,Strongly Agree,Well-informed,No,No,DK/REF,Make no Difference,Yes,DK/REF
Male,36,35-44,Not Very strong Democrat,,DK/REF,DK/REF,Some college,,Black,,Strongly Disapprove,Yes,Mandatory,Yes,Strongly Agree,Strongly Agree,Not Very Well-informed,No,Yes,Yes,Make no Difference,Yes,No
Female,51,45-54,DK/REF,,,Strong Conservative,College degree,,Black,,Strongly Disapprove,Yes,Optional,Yes,Strongly Disagree,Strongly Disagree,Not Very Well-informed,No,No,Yes,Make no Difference,Yes,Yes
