Q1: What gender do you identify with? ,Q2: What is your age? ,Q2: Age range,"Q3: In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Q4: Would you say you are liberal, conservative, or moderate?",Q5: What is your highest level of education? ,Q5: Other ,Q6: What is your race?,Q6: Other ,"Q7: Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ",Q8: Do you have a Twitter account? ,Q8A: How often do you go on Twitter?,Q8B: Have you ever tweeted at the President? ,Q9: Do you believe that Russia interfered with the 2016 Presidential Election? ,Q10: Would you support military action against Russia in response to their interference with the 2016 Presidential Election? ,Q11: Did you support the 2003 Iraq War?,Q12: How likely is it that the United States will be invaded by a foreign power in the next decade?,Q13: Do you believe that the United States has the right to help overthrow governments that are hostile to American interests? ,Q14: Do you believe that the United States has interfered with the democratic elections of other nations in the past?,Q15: Some commentators have suggested that the Parkland school shooting was staged in order to get guns banned in America. Do you believe that the shooting was staged and that the survivors were paid actors?,"Q16: Do you believe that there is a ""deep state"" in America that is conspiring to undermine the Trump Presidency? ","Q17: Which type of news sources do you think produces more fake news: conservative news sources, liberal news sources, or both equally? ",Q18: What is more important to you when deciding whether something is true: science or common sense? ,Q19: Do you believe that the Russians posess a videotape containing footage of Donald Trump watching prostitutes urinating in front of him? ,"Q20: If you had to guess, what percentage of the country is currently under Sharia law?",Q20: DK/REF,"Q21: Do you believe that professional wrestling, like the WWE, is real or staged? ",Q22: Do you believe that the Earth is flat? 
Male,64,55-64,Republican,Moderate,Graduate degree,,Asian,,Strongly Approve,No,,,Yes,No,No,Not at all likely,No,Yes,Yes,Yes,Both Equally,Common Sense,No,50,,Staged,Yes
Female,68,65+,Democrat,Moderate,Graduate degree,,Black,,Strongly Disapprove,No,,,Yes,Yes,Yes,Very Likely,Yes,No,Yes,Yes,Both Equally,Common Sense,Yes,,DK/REF,Real,No
Female,73,65+,Independent,Strong Conservative,Graduate degree,,Black,,Strongly Approve,No,,,No,,No,Not at all likely,No,Yes,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,68,65+,Democrat,Not very Strong Liberal,High school or less,,White,,Neither approve nor disapprove,No,,,No,,No,Somewhat Likely,Yes,No,No,No,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Female,86,65+,Independent,Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,No,DK/REF,No,No,DK/REF,Common Sense,DK/REF,,DK/REF,Staged,No
Female,70,65+,Independent,Strong Conservative,High school or less,,White,,Neither approve nor disapprove,No,,,Yes,Yes,No,Very Likely,Yes,Yes,DK/REF,No,DK/REF,Common Sense,No,50,,DK/REF,No
Female,77,65+,DK/REF,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,DK/REF,,No,Somewhat Likely,DK/REF,No,No,DK/REF,DK/REF,Common Sense,No,,DK/REF,Staged,No
Female,65,65+,DK/REF,DK/REF,High school or less,,Asian,,DK/REF,No,,,DK/REF,,No,DK/ REF,DK/REF,DK/REF,No,DK/REF,Both Equally,Common Sense,DK/REF,,DK/REF,DK/REF,No
Male,85,65+,Democrat,Strong Conservative,College degree,,Black,,Strongly Approve,DK/ REF,,,DK/REF,,No,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,75,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,No,,,DK/REF,,No,Somewhat Likely,DK/REF,Yes,No,Yes,Both Equally,Common Sense,DK/REF,10,,Staged,No
Female,45,45-54,Independent,Not Very Strong conservative,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,71,65+,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,No,,,DK/REF,,Yes,Not at all likely,Yes,Yes,No,No,Both Equally,Science,No,5,,Staged,No
Male,68,65+,Republican,Not Very Strong conservative,Some college,,White,,Somewhat Approve,No,,,Yes,No,Yes,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,Yes,20,,Staged,No
Male,81,65+,Independent,Not very Strong Liberal,High school or less,,White,,DK/REF,No,,,DK/REF,,No,Very Likely,No,Yes,Yes,Yes,Both Equally,Common Sense,No,80,,Staged,No
Female,83,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,80,65+,Republican,Not very Strong Liberal,College degree,,White,,Somewhat Disapprove,No,,,No,,Yes,Somewhat Likely,Yes,No,No,Yes,Both Equally,Science,No,,DK/REF,Staged,No
Female,79,65+,Independent,Moderate,Some college,,White,,Somewhat Disapprove,No,,,Yes,No,Yes,Somewhat Likely,No,No,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Real,No
Female,72,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,No,,,No,,DK/REF,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,51,45-54,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Male,59,55-64,Independent,Moderate,College degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Not at all likely,No,Yes,No,No,DK/REF,DK/REF,DK/REF,0,,Staged,No
Male,65,65+,Republican,Moderate,Some college,,White,,Neither approve nor disapprove,Yes,DK/REF,No,Yes,No,No,Very Likely,Yes,No,No,Yes,Both Equally,Science,Yes,,DK/REF,Staged,No
Male,56,55-64,Democrat,Moderate,College degree,,DK/REF,,Neither approve nor disapprove,Yes,Once a day,No,No,,DK/REF,Not at all likely,No,No,No,Yes,Both Equally,Common Sense,No,0,,Staged,No
Female,72,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,No,,No,Not at all likely,Yes,No,No,Yes,Liberal News Sources,DK/REF,DK/REF,10,,Staged,No
Female,82,65+,Democrat,DK/REF,College degree,,White,,DK/REF,DK/ REF,,,DK/REF,,No,DK/ REF,DK/REF,No,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,,DK/REF,DK/REF,No
Female,40,35-44,Republican,Strong Conservative,Other,trade school,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,1,,Staged,No
Male,46,45-54,Republican,Moderate,High school or less,,White,,Strongly Approve,No,,,No,,DK/REF,Somewhat Likely,Yes,No,Yes,DK/REF,Both Equally,Science,No,65,,Staged,No
Female,81,65+,Democrat,DK/REF,High school or less,,White,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,DK/REF,No,DK/REF,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,DK/REF
Female,27,25-34,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,No,No,Not at all likely,DK/REF,DK/REF,DK/REF,No,DK/REF,Science,Yes,,DK/REF,Staged,No
Female,75,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,5,,Staged,No
Male,76,65+,Independent,Moderate,High school or less,,White,,Somewhat Disapprove,No,,,Yes,No,No,Somewhat Likely,No,DK/REF,No,No,Liberal News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,76,65+,Independent,Not Very Strong conservative,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,61,55-64,Independent,Not Very Strong conservative,High school or less,,White,,Strongly Disapprove,No,,,No,,No,Very Likely,No,No,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,57,55-64,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,No,,,DK/REF,,No,Somewhat Likely,No,No,DK/REF,Yes,Both Equally,Common Sense,Yes,,DK/REF,Real,Yes
Male,69,65+,Democrat,Moderate,Graduate degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,Yes,No,No,Liberal News Sources,Common Sense,Yes,,DK/REF,Staged,No
Male,50,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,No,No,Yes,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Male,36,35-44,Independent,Not very Strong Liberal,Some college,,Latino,,Strongly Approve,No,,,No,,No,Somewhat Likely,No,Yes,Yes,Yes,Conservative News Sources,Common Sense,No,7,,Staged,Yes
Male,27,25-34,Democrat,Moderate,Some college,,Latino,,Somewhat Disapprove,No,,,Yes,Yes,No,Not at all likely,DK/REF,DK/REF,No,No,Both Equally,DK/REF,No,60,,Real,No
Female,66,65+,Democrat,Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,Yes,No,No,No,Conservative News Sources,DK/REF,DK/REF,,DK/REF,Staged,No
Male,55,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,4,,Staged,No
Male,71,65+,Democrat,Strong Conservative,High school or less,,Black,,Strongly Disapprove,No,,,Yes,No,Yes,Somewhat Likely,Yes,No,No,No,Both Equally,Common Sense,Yes,,DK/REF,Staged,No
Female,34,25-34,Democrat,Not Very Strong conservative,College degree,,Black,,Strongly Disapprove,No,,,No,,Yes,Very Likely,No,No,No,No,Both Equally,Science,No,,DK/REF,Staged,DK/REF
Male,66,65+,Democrat,Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,Yes,Or several times a day?,No,Yes,Yes,No,Not at all likely,Yes,No,No,No,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,No
Female,60,55-64,Independent,Strong Conservative,High school or less,,DK/REF,,Strongly Approve,No,,,No,,No,Not at all likely,DK/REF,No,No,Yes,Liberal News Sources,Common Sense,DK/REF,,DK/REF,Staged,Yes
Female,54,45-54,Independent,Strong Liberal,High school or less,,White,,Neither approve nor disapprove,No,,,No,,No,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,60,55-64,Republican,Moderate,Some college,,Latino,,Neither approve nor disapprove,No,,,No,,No,Somewhat Likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,49,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,DK/REF,,Yes,Somewhat Likely,Yes,No,No,Yes,Liberal News Sources,Science,DK/REF,,DK/REF,Staged,No
Male,25,25-34,DK/REF,DK/REF,Some college,,Latino,,Neither approve nor disapprove,No,,,No,,DK/REF,Somewhat Likely,DK/REF,No,No,Yes,Both Equally,Science,Yes,40,,Staged,No
Male,53,45-54,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Once a week,No,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,2,,Staged,No
Male,50,45-54,Independent,Moderate,College degree,,Black,,Neither approve nor disapprove,No,,,Yes,No,No,Not at all likely,No,No,No,Yes,Both Equally,Science,Yes,0,,Staged,No
Male,25,25-34,Democrat,Strong Liberal,High school or less,,Black,,Strongly Disapprove,No,,,DK/REF,,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,No,0,,Staged,No
Male,65,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Yes,Once a week,No,Yes,No,No,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Female,39,35-44,Democrat,Strong Liberal,Graduate degree,,Latino,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,No,No,No,Both Equally,Science,DK/REF,5,,Staged,No
Female,30,25-34,Republican,DK/REF,College degree,,Latino,,Somewhat Disapprove,No,,,DK/REF,,No,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Science,No,5,,Staged,No
Male,47,45-54,DK/REF,DK/REF,Some college,,DK/REF,,Strongly Disapprove,No,,,DK/REF,,No,Not at all likely,No,Yes,No,No,DK/REF,Science,Yes,,DK/REF,Staged,No
Female,50,45-54,Independent,Moderate,College degree,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Not at all likely,No,No,No,No,Both Equally,Science,No,0,,Staged,No
Male,72,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,DK/REF,,Yes,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Male,60,55-64,DK/REF,Moderate,Some college,,White,,DK/REF,Yes,Once a month,No,DK/REF,,No,Somewhat Likely,No,Yes,No,Yes,Both Equally,Science,DK/REF,,DK/REF,Staged,No
Male,65,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Somewhat Likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,45,45-54,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Yes,Once a month,No,No,,No,Somewhat Likely,Yes,DK/REF,Yes,Yes,Liberal News Sources,Common Sense,No,5,,Staged,No
Male,23,18-24,Independent,Strong Liberal,Some college,,Latino,,Somewhat Disapprove,No,,,Yes,No,No,Not at all likely,No,Yes,No,No,Both Equally,Science,No,0,,Staged,No
Male,40,35-44,Democrat,Not Very Strong conservative,High school or less,,Black,,Strongly Disapprove,No,,,No,,Yes,Not at all likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,DK/REF,No
Male,50,45-54,Republican,Strong Conservative,Some college,,Latino,,Strongly Approve,No,,,DK/REF,,Yes,Not at all likely,Yes,DK/REF,DK/REF,No,Both Equally,DK/REF,No,1,,Staged,DK/REF
Female,21,18-24,DK/REF,Moderate,Some college,,White,,Somewhat Approve,Yes,Or several times a day?,No,No,,No,Very Likely,Yes,Yes,No,No,DK/REF,Common Sense,Yes,,DK/REF,Staged,No
Male,78,65+,Independent,Moderate,High school or less,,White,,Strongly Approve,No,,,No,,No,Not at all likely,No,DK/REF,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,53,45-54,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Yes,Once a day,No,Yes,No,No,Not at all likely,Yes,Yes,No,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Male,64,55-64,Independent,Moderate,Graduate degree,,Latino,,Somewhat Disapprove,No,,,Yes,Yes,Yes,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Common Sense,No,50,,Staged,No
Female,26,25-34,Independent,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Yes,Once a month,No,No,,Yes,Not at all likely,No,Yes,No,Yes,Both Equally,Science,No,5,,Staged,No
Female,67,65+,Democrat,Moderate,High school or less,,White,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,Yes,No,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,46,45-54,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Very Likely,Yes,No,No,No,Both Equally,Common Sense,Yes,10,,Staged,Yes
Male,40,35-44,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,DK/ REF,Yes,Yes,Yes,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Male,65,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,No,,Yes,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,DK/REF,No,3,,Staged,No
Male,24,18-24,DK/REF,DK/REF,College degree,,Latino,,DK/REF,No,,,DK/REF,,DK/REF,DK/ REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,No
Female,75,65+,Democrat,DK/REF,Some college,,White,,Strongly Disapprove,No,,,DK/REF,,No,Very Likely,No,DK/REF,Yes,DK/REF,Both Equally,DK/REF,DK/REF,70,,Staged,No
Male,50,45-54,Democrat,Moderate,High school or less,,Latino,,Strongly Disapprove,No,,,Yes,Yes,No,Not at all likely,Yes,No,No,Yes,Both Equally,Science,No,,DK/REF,Staged,No
Male,72,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,0,,Staged,No
Female,61,55-64,Democrat,Not very Strong Liberal,High school or less,,Latino,,Somewhat Disapprove,No,,,Yes,Yes,No,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Science,Yes,,DK/REF,Staged,No
Male,67,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,Yes,Very Likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,15,,Staged,No
Male,24,18-24,Democrat,Strong Conservative,College degree,,Latino,,Somewhat Approve,No,,,Yes,No,Yes,Somewhat Likely,No,No,No,No,Liberal News Sources,Science,No,,DK/REF,Staged,No
Female,60,55-64,Independent,Moderate,Graduate degree,,White,,Strongly Disapprove,Yes,Once a month,No,Yes,No,Yes,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,Yes,0,,Staged,No
Female,71,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Yes,Once a day,No,No,,No,Somewhat Likely,No,No,No,Yes,Liberal News Sources,Common Sense,No,10,,Real,No
Female,27,25-34,Independent,Moderate,Graduate degree,,White,,Strongly Approve,No,,,No,,No,Not at all likely,No,Yes,No,No,Both Equally,Science,No,0,,Staged,No
Male,32,25-34,Independent,Strong Liberal,College degree,,White,,Strongly Disapprove,Yes,Once a week,No,Yes,Yes,Yes,Not at all likely,No,Yes,No,No,Conservative News Sources,Science,DK/REF,100,,Staged,No
Male,21,18-24,Independent,Moderate,Some college,,Latino,,Neither approve nor disapprove,Yes,Once a month,No,No,,Yes,Not at all likely,No,Yes,No,Yes,Both Equally,Science,Yes,10,,Staged,No
Male,20,18-24,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,Not at all likely,Yes,Yes,Yes,Yes,Both Equally,Science,No,3,,Staged,No
Male,65,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Yes,Once a month,No,DK/REF,,No,Somewhat Likely,Yes,No,No,No,Both Equally,Science,No,0,,Staged,No
Female,35,35-44,Democrat,Not very Strong Liberal,College degree,,Black,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,Yes,Yes,No,Yes,Both Equally,Common Sense,No,20,,Staged,No
Male,62,55-64,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,,DK/REF,Staged,No
Female,64,55-64,Democrat,Moderate,High school or less,,Latino,,Strongly Disapprove,No,,,Yes,Yes,No,DK/ REF,Yes,DK/REF,DK/REF,No,Both Equally,Common Sense,DK/REF,,DK/REF,Staged,No
Male,74,65+,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,No,,,Yes,No,No,Not at all likely,Yes,No,No,No,DK/REF,Common Sense,Yes,,DK/REF,Staged,No
Male,66,65+,Independent,Strong Conservative,Graduate degree,,Latino,,Strongly Approve,No,,,No,,Yes,Not at all likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,77,65+,Republican,Strong Conservative,Other,ASSOCIATE DEGREE,White,,Strongly Approve,No,,,No,,DK/REF,Not at all likely,No,No,No,Yes,Liberal News Sources,Common Sense,No,10,,Staged,No
Female,69,65+,Independent,Strong Conservative,High school or less,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Somewhat Likely,No,Yes,No,No,Conservative News Sources,Common Sense,Yes,10,,Staged,No
Male,83,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,Yes,No,Yes,Not at all likely,No,No,No,No,DK/REF,Science,No,0,,Staged,No
Male,74,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Yes,Once a day,Yes,Yes,No,No,Not at all likely,No,Yes,No,No,DK/REF,Science,DK/REF,0,,Staged,No
Female,73,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,No,,,DK/REF,,No,Not at all likely,No,No,No,No,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Male,60,55-64,DK/REF,DK/REF,High school or less,,White,,Somewhat Disapprove,No,,,DK/REF,,DK/REF,Not at all likely,DK/REF,DK/REF,No,DK/REF,Both Equally,Common Sense,DK/REF,,DK/REF,DK/REF,No
Male,70,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,DK/REF,,No,Not at all likely,No,Yes,Yes,Yes,Liberal News Sources,Common Sense,No,,DK/REF,Staged,No
Female,82,65+,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,No,,,DK/REF,,No,Somewhat Likely,No,Yes,No,Yes,Liberal News Sources,Common Sense,No,50,,Staged,No
Male,43,35-44,Republican,DK/REF,DK/REF,,Latino,,Strongly Approve,DK/ REF,,,DK/REF,,Yes,Very Likely,Yes,Yes,No,No,Liberal News Sources,Science,Yes,,DK/REF,Real,No
Male,64,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,No,,No,DK/ REF,Yes,No,No,No,Liberal News Sources,Science,Yes,,DK/REF,Staged,No
Male,74,65+,Republican,Moderate,College degree,,White,,Somewhat Approve,No,,,Yes,No,Yes,Somewhat Likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,5,,Staged,No
Female,29,25-34,DK/REF,DK/REF,High school or less,,White,,Strongly Disapprove,No,,,No,,No,Somewhat Likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Male,60,55-64,DK/REF,Strong Liberal,Some college,,White,,Strongly Disapprove,No,,,Yes,No,No,Somewhat Likely,No,No,DK/REF,Yes,Conservative News Sources,Science,DK/REF,0,,Staged,No
Female,85,65+,Republican,Not Very Strong conservative,High school or less,,White,,Somewhat Approve,No,,,Yes,No,Yes,Not at all likely,Yes,No,No,Yes,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,64,55-64,Democrat,Moderate,High school or less,,White,,Strongly Approve,No,,,DK/REF,,No,Not at all likely,No,No,No,DK/REF,Both Equally,Common Sense,No,,DK/REF,DK/REF,No
Female,88,65+,Democrat,DK/REF,High school or less,,Black,,DK/REF,No,,,No,,No,DK/ REF,DK/REF,No,No,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,No
Female,70,65+,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,No,,,No,,No,Somewhat Likely,DK/REF,DK/REF,No,No,Conservative News Sources,Science,No,5,,Staged,No
Female,62,55-64,Democrat,Moderate,College degree,,White,,Somewhat Disapprove,No,,,No,,No,Not at all likely,Yes,No,No,Yes,Both Equally,Common Sense,No,15,,Staged,No
Female,57,55-64,Republican,Not Very Strong conservative,College degree,,White,,DK/REF,Yes,Once a week,No,DK/REF,,DK/REF,Not at all likely,DK/REF,No,No,No,Both Equally,Science,DK/REF,,DK/REF,Staged,No
Female,70,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,Yes,No,Yes,Not at all likely,Yes,Yes,No,Yes,Liberal News Sources,Common Sense,No,30,,Staged,No
Female,70,65+,Democrat,Moderate,College degree,,Black,,Neither approve nor disapprove,No,,,DK/REF,,No,Not at all likely,DK/REF,No,DK/REF,DK/REF,DK/REF,Common Sense,DK/REF,,DK/REF,DK/REF,DK/REF
Male,84,65+,Republican,DK/REF,High school or less,,White,,DK/REF,DK/ REF,,,DK/REF,,DK/REF,Not at all likely,No,DK/REF,No,No,DK/REF,Common Sense,No,,DK/REF,DK/REF,DK/REF
Female,39,35-44,Republican,DK/REF,Some college,,Latino,,Strongly Disapprove,No,,,Yes,No,Yes,Very Likely,No,No,No,No,Both Equally,Common Sense,No,,DK/REF,Staged,No
Female,63,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,No,,,Yes,No,No,Very Likely,Yes,No,Yes,Yes,Liberal News Sources,Science,No,4,,Staged,No
Male,61,55-64,Republican,Moderate,College degree,,White,,Somewhat Approve,No,,,Yes,No,Yes,Not at all likely,Yes,Yes,No,Yes,Both Equally,Common Sense,No,0,,Staged,No
