State,Age,Gender,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","
What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"
What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? ","
In general, do you think Americans should be more trusting of foreigners, or more suspicious of foreigners?",Do you agree or disagree with the following statement: People should not be so easily offended. (probe: strongly or somewhat?),"
Do you think that people should be free to express their political opinions in the workplace without getting fired?",Do you think the government should place tighter restrictions on who can buy a gun?,"On average, black people are less highly educated than other groups. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?",Do you believe Vladimir Putin when he said that he did not interfere with the 2016 presidential election?,"From what you have seen or heard, do you think Black Lives Matter is offensive?","
Do you think the government should place tighter restrictions on who can smoke marijuana?","
Do you think professional athetes should be allowed to sit or kneel during the national anthem as part of a political protest?",Do you think the government should place tighter restrictions on who can have access to pornography?,"Do you live in a city, suburb, or small town?","People from small towns tend to be less highly educated than people from big cities. Do you think this is mostly because of a lack of effort, or mostly because of circumstances beyond their control?","If Jesus were alive today, do you think he would support Donald Trump?"
PA,63,Male,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Don't Know/Refused,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,Don't Know/Refused,Don't Know/Refused,Yes,City,Don't Know/Refused,Yes
LA,76,Female,65+,Strong Republican,Moderate,Graduate degree,,White,,Strongly Disapprove,More trusting,Strongly Disagree,Yes,No,Circumstances beyond their control,Yes,Yes,Yes,Yes,Yes,Small Town,Circumstances beyond their control,Yes
OH,77,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Lack of effort,No
TN,77,Female,65+,Strong Republican,Not Very Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
VA,70,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
SC,54,Female,45-54,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
FL,52,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Don't Know/Refused,Lack of effort,Yes
GA,77,Male,65+,Not very Strong Republican,Don't Know/Refused,Graduate degree,,Asian,,Strongly Approve,Don't Know/Refused,Strongly Disagree,Don't Know/Refused,No,Circumstances beyond their control,Yes,No,No,No,No,City,Don't Know/Refused,Yes
SD,61,Male,55-64,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
IL,59,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
MN,82,Female,65+,Strong Republican,Not very strong Liberal,Some college,,White,,Somewhat Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Circumstances beyond their control,Yes,Yes,No,Yes,No,Suburb,Circumstances beyond their control,Yes
IN,91,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Disapprove,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,City,Circumstances beyond their control,No
LA,74,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
IN,59,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Don't Know/Refused,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
FL,73,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
OH,88,Female,65+,Not very Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,Yes,No,Yes,No,Yes,Small Town,Lack of effort,Yes
WI,70,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,Small Town,Circumstances beyond their control,Yes
IA,79,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Somewhat Agree,No,No,Don't Know/Refused,No,Don't Know/Refused,Yes,No,No,Don't Know/Refused,Lack of effort,Yes
NC,84,Male,65+,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
UT,79,Female,65+,Strong Republican,Not Very Strong Conservative,Other,junior college,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Don't Know/Refused,No,Don't Know/Refused,Don't Know/Refused,Yes,Don't Know/Refused,No,No,Small Town,Don't Know/Refused,Don't Know/Refused
UT,77,Male,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,No,Yes,Circumstances beyond their control,No,No,No,No,No,City,Circumstances beyond their control,Don't Know/Refused
KS,78,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Strongly Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,No,No,Yes,City,Circumstances beyond their control,Don't Know/Refused
NC,82,Female,65+,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,No,Lack of effort,Don't Know/Refused,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
IL,34,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,No,Small Town,Don't Know/Refused,Don't Know/Refused
NC,49,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
MA,64,Male,55-64,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Disapprove,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,Yes,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
PA,64,Female,55-64,Strong Republican,Not very strong Liberal,Graduate degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
AL,75,Female,65+,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,Don't Know/Refused,Yes,Yes,Yes,Small Town,Don't Know/Refused,Yes
NY,60,Female,55-64,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,Don't Know/Refused,Yes,Circumstances beyond their control,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,No
IA,74,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,No,City,Don't Know/Refused,Yes
NJ,41,Female,35-44,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Don't Know/Refused,Yes,Yes,Yes,No,Suburb,Lack of effort,Yes
AZ,81,Female,65+,Not very Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More trusting,Somewhat Agree,Don't Know/Refused,Yes,Circumstances beyond their control,Yes,No,No,Yes,No,City,Circumstances beyond their control,Yes
NC,77,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Suburb,Lack of effort,Don't Know/Refused
NC,34,Female,25-34,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Disapprove,More suspicious,Somewhat Disagree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Lack of effort,No
NE,79,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
FL,49,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Lack of effort,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
CA,73,Female,65+,Not very Strong Republican,Not Very Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Somewhat Agree,No,Yes,Don't Know/Refused,No,No,No,No,No,Small Town,Circumstances beyond their control,Yes
CA,94,Female,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Don't Know/Refused,Yes,Yes,Don't Know/Refused,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
CA,48,Female,45-54,Strong Republican,Moderate,Some college,,White,,Neither Approve nor Disapprove,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
CA,90,Female,65+,Strong Republican,Moderate,High school or less,,White,,Don't Know/Refused,Don't Know/Refused,Somewhat Agree,Yes,No,Don't Know/Refused,No,No,No,No,No,Small Town,Circumstances beyond their control,Yes
CA,50,Male,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
OR,73,Male,65+,Not very Strong Republican,Not Very Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,Small Town,Lack of effort,Yes
OR,76,Male,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
AZ,70,Female,65+,Not very Strong Republican,Moderate,College degree,,White,,Strongly Disapprove,More trusting,Somewhat Agree,Yes,Yes,Lack of effort,No,No,No,Yes,No,City,Circumstances beyond their control,No
CA,77,Male,65+,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Disapprove,Don't Know/Refused,Somewhat Agree,Yes,No,Circumstances beyond their control,No,No,Yes,Yes,Yes,Suburb,Lack of effort,Don't Know/Refused
CA,67,Male,65+,Not very Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
IA,61,Female,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,No,Yes,Yes,No,Yes,City,Don't Know/Refused,Yes
TN,86,Female,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,No,Yes,No,Yes,City,Don't Know/Refused,Don't Know/Refused
UT,58,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
CA,51,Male,45-54,Not very Strong Republican,Not Very Strong Conservative,Some college,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Yes,Suburb,Lack of effort,Yes
OK,60,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
CA,62,Male,55-64,Strong Republican,Strong Conservative,College degree,,Asian,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Don't Know/Refused,Yes,Yes,No,No,No,City,Circumstances beyond their control,Yes
NV,59,Female,55-64,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,No,No,Don't Know/Refused,Don't Know/Refused,Yes,No,No,Yes,Small Town,Lack of effort,Don't Know/Refused
AZ,45,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,No,No,No,Yes,City,Circumstances beyond their control,Yes
OR,65,Female,65+,Strong Republican,Strong Conservative,Other,Trade school,White,,Strongly Approve,More trusting,Strongly Agree,No,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Small Town,Circumstances beyond their control,Yes
CA,81,Female,65+,Strong Republican,Strong Conservative,Some college,,Latino,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,Yes,Lack of effort,No,No,Yes,No,Yes,City,Don't Know/Refused,Don't Know/Refused
OR,41,Male,35-44,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,Suburb,Lack of effort,Yes
FL,46,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More trusting,Somewhat Agree,No,Yes,Lack of effort,No,No,No,Yes,No,City,Lack of effort,No
FL,30,Male,25-34,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Don't Know/Refused,Yes
FL,54,Female,45-54,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,No,No,Yes,Suburb,Circumstances beyond their control,Yes
CA,65,Female,65+,Strong Republican,Strong Liberal,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
NY,86,Female,65+,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Strongly Disagree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Don't Know/Refused
OK,85,Male,65+,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,No,No,No,No,No,Small Town,Lack of effort,Yes
NC,42,Male,35-44,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
FL,59,Male,55-64,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Lack of effort,No
PA,39,Male,35-44,Not very Strong Republican,Moderate,College degree,,White,,Strongly Disapprove,More trusting,Somewhat Agree,Yes,Yes,Circumstances beyond their control,No,No,Yes,Yes,Yes,Suburb,Circumstances beyond their control,No
LA,46,Female,45-54,Strong Republican,Strong Conservative,Some college,,Asian,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Yes,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
SD,75,Female,65+,Not very Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Don't Know/Refused,Yes,No,No,Yes,Small Town,Don't Know/Refused,Yes
NE,61,Female,55-64,Strong Republican,Moderate,Graduate degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,No,Yes,Yes,No,Yes,City,Lack of effort,Yes
NY,37,Male,35-44,Strong Republican,Strong Conservative,Some college,,White,,Neither Approve nor Disapprove,More suspicious,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,No
RI,54,Female,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,No,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
NY,61,Male,55-64,Not very Strong Republican,Moderate,College degree,,White,,Neither Approve nor Disapprove,More trusting,Strongly Agree,Don't Know/Refused,Yes,Circumstances beyond their control,No,No,No,Don't Know/Refused,No,City,Circumstances beyond their control,No
AR,47,Female,45-54,Strong Republican,Moderate,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Lack of effort,Yes,Yes,No,No,No,Suburb,Lack of effort,Yes
NY,71,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Disapprove,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,No,No,No,No,Small Town,Don't Know/Refused,Yes
NC,85,Female,65+,Not very Strong Republican,Moderate,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Disagree,Yes,Yes,Lack of effort,Yes,Yes,No,Yes,Yes,City,Circumstances beyond their control,No
NY,20,Male,18-24,Strong Republican,Moderate,Graduate degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,Yes,Lack of effort,Yes,No,No,No,No,Small Town,Lack of effort,No
PA,75,Female,65+,Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More suspicious,Somewhat Agree,No,No,Don't Know/Refused,No,Yes,Yes,No,Yes,Small Town,Don't Know/Refused,Don't Know/Refused
NY,70,Male,65+,Not very Strong Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More suspicious,Somewhat Agree,Yes,Yes,Lack of effort,Don't Know/Refused,Yes,No,No,Don't Know/Refused,Small Town,Don't Know/Refused,Don't Know/Refused
VA,60,Male,55-64,Not very Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,Yes,No,Lack of effort,Yes,No,No,Yes,No,Suburb,Lack of effort,Don't Know/Refused
IA,65,Female,65+,Strong Republican,Don't Know/Refused,College degree,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,No,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
FL,56,Male,55-64,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,No,Circumstances beyond their control,No,No,No,Yes,Yes,Suburb,Lack of effort,Yes
IN,92,Female,65+,Strong Republican,Not Very Strong Conservative,High school or less,,White,,Somewhat Approve,More suspicious,Somewhat Agree,No,No,Don't Know/Refused,Yes,No,Yes,No,Yes,Suburb,Don't Know/Refused,Yes
NE,64,Female,55-64,Not very Strong Republican,Moderate,College degree,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,Don't Know/Refused,Don't Know/Refused,No,Yes,Yes,Small Town,Don't Know/Refused,Yes
IA,66,Female,65+,Not very Strong Republican,Moderate,Some college,,White,,Strongly Disapprove,More suspicious,Strongly Agree,No,No,Circumstances beyond their control,No,No,Yes,No,Yes,Small Town,Circumstances beyond their control,Yes
MS,56,Female,55-64,Strong Republican,Not Very Strong Conservative,College degree,,White,,Somewhat Approve,Don't Know/Refused,Strongly Agree,No,Don't Know/Refused,Circumstances beyond their control,No,Yes,No,No,No,Suburb,Circumstances beyond their control,Don't Know/Refused
MA,50,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Circumstances beyond their control,No,Yes,No,No,Yes,City,Circumstances beyond their control,Yes
FL,80,Male,65+,Strong Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More suspicious,Strongly Agree,No,No,Don't Know/Refused,No,Yes,Yes,No,Yes,Suburb,Don't Know/Refused,Don't Know/Refused
WI,56,Male,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Somewhat Agree,Yes,No,Lack of effort,Yes,No,No,Yes,No,Small Town,Lack of effort,Yes
FL,58,Female,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,Yes,Yes,Suburb,Don't Know/Refused,Yes
LA,75,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,No,Yes,No,No,No,City,Circumstances beyond their control,Yes
AR,73,Female,65+,Strong Republican,Moderate,College degree,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,No,Small Town,Circumstances beyond their control,Yes
TN,77,Female,65+,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,More suspicious,Somewhat Agree,Yes,No,Circumstances beyond their control,Yes,Yes,No,No,Yes,Don't Know/Refused,Lack of effort,Yes
PA,53,Male,45-54,Strong Republican,Moderate,High school or less,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,No,Lack of effort,Yes,Yes,Don't Know/Refused,No,Don't Know/Refused,Suburb,Don't Know/Refused,Yes
OH,77,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More suspicious,Strongly Disagree,Yes,Yes,Lack of effort,Yes,Yes,Yes,No,Yes,Suburb,Lack of effort,Yes
TX,75,Male,65+,Strong Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More trusting,Somewhat Agree,Yes,Yes,Don't Know/Refused,No,No,No,No,No,City,Circumstances beyond their control,Yes
TX,58,Female,55-64,Strong Republican,Moderate,Some college,,White,,Strongly Approve,More suspicious,Strongly Agree,Yes,Yes,Circumstances beyond their control,Yes,No,No,No,Yes,Small Town,Circumstances beyond their control,Yes
MD,19,Female,18-24,Strong Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More suspicious,Somewhat Disagree,Yes,Yes,Circumstances beyond their control,Don't Know/Refused,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Yes
NY,82,Female,65+,Strong Republican,Moderate,Some college,,White,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Circumstances beyond their control,Yes,No,No,No,Don't Know/Refused,Suburb,Circumstances beyond their control,Yes
NC,50,Female,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More trusting,Strongly Agree,No,No,Lack of effort,No,Yes,Yes,No,Yes,Suburb,Circumstances beyond their control,Don't Know/Refused
KS,75,Male,65+,Strong Republican,Strong Conservative,Some college,,Don't Know/Refused,,Strongly Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Circumstances beyond their control,Don't Know/Refused,Don't Know/Refused,Yes,No,Yes,Small Town,Don't Know/Refused,Yes
KS,69,Female,65+,Not very Strong Republican,Strong Conservative,Some college,,White,,Strongly Approve,More trusting,Strongly Agree,Yes,Yes,Don't Know/Refused,No,Yes,Yes,No,Yes,City,Don't Know/Refused,No
WV,53,Male,45-54,Strong Republican,Strong Conservative,College degree,,White,,Strongly Approve,Don't Know/Refused,Strongly Agree,Don't Know/Refused,No,Lack of effort,Yes,Yes,Yes,No,Yes,Small Town,Lack of effort,Yes
TX,70,Male,65+,Not very Strong Republican,Moderate,College degree,,White,,Somewhat Approve,Don't Know/Refused,Somewhat Agree,Yes,No,Don't Know/Refused,Yes,Don't Know/Refused,No,Yes,No,Small Town,Lack of effort,No
