Gender,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Other,"
What is your race? (white, black, latino, asian, other)",Other,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)",Would you consider yourself pro-life or pro-choice?,"Are the people you interact with on a day-to-day basis, both in person and on social media, mostly conservatives, a mix of conservatives and liberals, or mostly liberals?",What's the first word that comes to your mind when you think of Donald Trump?,Other,Do you support or oppose Trump's plan to build a wall between Mexico and the United States?,"A number of women have accused Donald Trump of sexual misconduct. How likely is it that these allegations are true: very likely, somewhat likely, or not at all likely?","Has unemployment gone up, gone down, or stayed the same since Donald Trump became president?",True or false: Donald Trump has always publically opposed abortion.,How many times has Donald Trump been married?,Would you describe Donald Trump as a humble person?,"Donald Trump is 6 feet, 3 inches tall. If you had to guess, how much do you think he weighs?","According to reports of his recent medical exam, Donald Trump weighs 239 pounds. Do you think that number is too high, too low, or accurate?","If you were a Mexican trying to illegally enter the United States, do you think you could probably find a way to get past Trump's border wall?",Do you plan on voting for Donald Trump in 2020?,Q21
Male,63,55-64,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,rich,,Oppose,Somewhat Likely,Stayed the same,DK/REF,3,No,250,Accurate,Yes,No,
Male,69,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,liar,,Oppose,Very Likely,Gone down,FALSE,3,No,245,Too low,Yes,No,
Female,82,65+,Democrat,Conservative,High school or less,,Latino,,Strongly Disapprove,DK/REF,Mostly Liberals,I don't like him.,,Support,Very Likely,DK/REF,DK/REF,1,No,190,Too high,Yes,No,
Male,47,45-54,Independent,Conservative,High school or less,,White,,Strongly Approve,Pro-Choice,DK/REF,great,,Support,DK/REF,Gone down,DK/REF,1,Yes,250,Too high,DK/REF,Yes,DK/REF
Female,22,18-24,Independent,Moderate,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,twitter,,Oppose,Somewhat Likely,DK/REF,TRUE,1,No,230,Accurate,Yes,No,
Male,29,25-34,DK/REF,DK/REF,College degree,,White,,Somewhat Approve,Pro-Choice,DK/REF,rich,,DK/REF,Somewhat Likely,Gone down,DK/REF,5,DK/REF,220,Accurate,Yes,No,
Female,64,55-64,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,racist,,Oppose,Very Likely,Gone up,FALSE,3,No,250,Accurate,Yes,No,
Male,62,55-64,Independent,Moderate,Some college,,Black,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,tyrant,,Oppose,Somewhat Likely,Stayed the same,TRUE,3,No,300,Too low,Yes,No,
Female,34,25-34,DK/REF,DK/REF,Some college,,White,,Neither approve nor disapprove,Pro-life,DK/REF,president,,DK/REF,DK/REF,DK/REF,DK/REF,1,DK/REF,200,Accurate,DK/REF,DK/REF,
Male,76,65+,Republican,Moderate,DK/REF,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,tall,,Support,DK/REF,Gone down,DK/REF,2,No,250,Accurate,Yes,Yes,DK/REF
Female,50,45-54,DK/REF,DK/REF,College degree,,White,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,president,,Support,Somewhat Likely,Stayed the same,DK/REF,3,No,240,DK/REF,Yes,DK/REF,
Female,51,45-54,Democrat,Moderate,Some college,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,ass,,Oppose,Very Likely,Gone down,FALSE,3,No,240,Accurate,No,No,
Female,27,25-34,Independent,DK/REF,High school or less,,White,,Strongly Approve,Pro-life,DK/REF,amazing,,Support,Somewhat Likely,Gone down,DK/REF,2,Yes,220,Too low,Yes,Yes,Yes
Other,30,25-34,Independent,Liberal,College degree,,DK/REF,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,fat,,Oppose,Very Likely,DK/REF,DK/REF,3,No,275,DK/REF,Yes,No,
Male,83,65+,Independent,Moderate,High school or less,,Black,,Neither approve nor disapprove,Pro-Choice,DK/REF,He can finish what he started.,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,250,DK/REF,Yes,No,
Female,63,55-64,Independent,Conservative,High school or less,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,I don't know.,,Oppose,Very Likely,Stayed the same,TRUE,4,No,235,Accurate,Yes,No,
Female,59,55-64,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,incompetent liar,,Oppose,Very Likely,Stayed the same,FALSE,3,No,260,Too low,Yes,No,
Female,67,65+,Democrat,Liberal,Some college,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,catastrophe,,Oppose,Very Likely,Gone down,TRUE,3,No,270,Too low,Yes,No,
Female,68,65+,Democrat,DK/REF,High school or less,,Black,,Somewhat Disapprove,DK/REF,DK/REF,There is none. I'll just pray for him.,,DK/REF,DK/REF,DK/REF,DK/REF,1,DK/REF,200,DK/REF,DK/REF,No,
Male,38,35-44,Republican,Conservative,Some college,,Latino,,Somewhat Approve,Pro-Choice,Mix of conservatives and liberals,misunderstood,,Oppose,DK/REF,Gone up,DK/REF,3,No,240,Accurate,Yes,Yes,No
Female,58,55-64,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,incompetent,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Too low,Yes,No,
Female,29,25-34,Independent,Moderate,Some college,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,He is crazy.,,Oppose,DK/REF,DK/REF,TRUE,2,DK/REF,280,Too low,Yes,No,
Male,52,45-54,Independent,Conservative,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,economy,,Support,Somewhat Likely,Gone down,DK/REF,3,Yes,240,Accurate,Yes,Yes,No
Female,68,65+,Independent,DK/REF,College degree,,White,,Neither approve nor disapprove,Pro-Choice,DK/REF,"Big guy, he is a big man.",,DK/REF,DK/REF,Gone down,DK/REF,3,No,215,DK/REF,Yes,DK/REF,
Female,40,35-44,Democrat,Conservative,High school or less,,Black,,Strongly Disapprove,DK/REF,Mostly Conservatives,stupid,,Oppose,Somewhat Likely,Stayed the same,TRUE,1,No,230,Accurate,Yes,No,
Male,39,35-44,Democrat,Liberal,Graduate degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,impeach,,Oppose,Very Likely,Gone down,FALSE,3,No,430,Too low,Yes,No,
Male,42,35-44,Republican,Moderate,Some college,,Latino,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,difficult,,DK/REF,Somewhat Likely,DK/REF,TRUE,3,No,250,Accurate,Yes,Yes,No
Female,56,55-64,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,unqualified,,Oppose,Very Likely,Gone down,FALSE,3,No,240,Accurate,No,No,
Female,32,25-34,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,DK/REF,It's non-presidential.,,Oppose,Somewhat Likely,Gone down,TRUE,3,No,250,Accurate,Yes,No,
Female,39,35-44,Democrat,Moderate,Some college,,Black,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,There is nothing.,,Oppose,Very Likely,Gone up,DK/REF,5,No,270,Too low,No,No,
Female,18,18-24,Independent,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Gone up,TRUE,999,No,999,Accurate,Yes,No,
Male,23,18-24,Independent,Moderate,College degree,,White,,DK/REF,DK/REF,Mix of conservatives and liberals,President,,Oppose,DK/REF,Gone up,DK/REF,999,Yes,270,Too low,DK/REF,DK/REF,
Male,58,55-64,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Decisive,,Support,Somewhat Likely,Gone down,DK/REF,3,No,255,Too low,DK/REF,DK/REF,
Female,70,65+,Democrat,DK/REF,Some college,,Black,,DK/REF,Pro-life,Mostly Liberals,,DK/REF,Oppose,DK/REF,Stayed the same,FALSE,5,No,999,Too high,Yes,No,
Female,21,18-24,Democrat,Liberal,Some college,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Insane,,Oppose,Very Likely,Gone down,TRUE,3,No,230,Too high,Yes,No,
Female,42,35-44,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Joke,,Oppose,Very Likely,Gone down,TRUE,2,No,250,Too low,Yes,No,
Female,56,55-64,Independent,Conservative,College degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,His hair,,Oppose,DK/REF,Gone down,DK/REF,2,No,220,Accurate,Yes,Yes,No
Female,25,25-34,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unqualified,,Oppose,Very Likely,Stayed the same,TRUE,3,No,999,Too high,Yes,No,
Female,28,25-34,Independent,Moderate,Graduate degree,,Latino,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Irresponsible,,Oppose,Somewhat Likely,DK/REF,TRUE,3,No,240,Too low,Yes,No,
Male,61,55-64,Independent,DK/REF,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,A good president,,Support,Not at all likely,Gone up,DK/REF,3,No,200,Accurate,No,Yes,No
Female,25,25-34,Democrat,Liberal,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Blunt,,Oppose,Somewhat Likely,Gone up,FALSE,2,No,280,Accurate,Yes,No,
Male,50,45-54,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Not at all likely,Gone down,TRUE,2,No,245,Accurate,Yes,Yes,No
Female,34,25-34,Independent,Moderate,High school or less,,Latino,,Strongly Disapprove,Pro-Choice,Mostly Liberals,He is garbage.,,Oppose,Very Likely,Gone down,DK/REF,2,Yes,200,Accurate,No,No,
Male,18,18-24,Independent,Moderate,High school or less,,Asian,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Businessman,,Oppose,Somewhat Likely,Stayed the same,FALSE,1,No,200,Too high,No,No,
Male,21,18-24,Independent,Moderate,Some college,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,Loud,,Oppose,Not at all likely,Gone down,FALSE,3,Yes,250,Accurate,No,No,
Female,60,55-64,DK/REF,Conservative,College degree,,DK/REF,,Somewhat Approve,Pro-Choice,Mostly Liberals,No nonsense,,Support,DK/REF,Gone down,DK/REF,2,No,200,DK/REF,Yes,DK/REF,
Male,23,18-24,DK/REF,DK/REF,College degree,,Black,,DK/REF,Pro-life,Mix of conservatives and liberals,Prideful,,DK/REF,Not at all likely,Gone down,FALSE,3,No,240,Accurate,Yes,No,
Female,50,45-54,Republican,Moderate,Graduate degree,,White,,Somewhat Approve,Pro-Choice,Mostly Liberals,President,,Oppose,Somewhat Likely,Gone down,DK/REF,2,No,210,Too high,Yes,Yes,No
Male,37,35-44,Independent,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,President,,Oppose,Very Likely,Stayed the same,DK/REF,4,No,250,DK/REF,Yes,No,
Female,18,18-24,Independent,Moderate,High school or less,,White,,Somewhat Approve,Pro-Choice,Mostly Conservatives,Bigot,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,180,Accurate,No,No,
Female,30,25-34,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,328,Too low,Yes,No,
Male,60,55-64,Democrat,Conservative,College degree,,Latino,,Strongly Disapprove,Pro-life,Mostly Conservatives,Not a good politician,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,240,Accurate,Yes,No,
Female,84,65+,DK/REF,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Man of his word,,Support,DK/REF,Gone down,DK/REF,3,Yes,999,DK/REF,DK/REF,Yes,No
Male,23,18-24,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Disgraceful,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,300,Too low,Yes,No,
Female,50,45-54,Independent,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,"Orange, like his skin color",,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,250,Accurate,Yes,No,
Female,25,25-34,Independent,DK/REF,Graduate degree,,Latino,,Somewhat Disapprove,DK/REF,DK/REF,,DK/REF,Support,Very Likely,Stayed the same,DK/REF,999,No,260,Accurate,No,No,
Male,67,65+,Republican,Conservative,Graduate degree,,White,,Somewhat Approve,Pro-life,Mix of conservatives and liberals,He is not politically correct. He speaks before he thinks.,,Oppose,Very Likely,Gone down,FALSE,999,No,237,Accurate,Yes,DK/REF,
Female,46,45-54,Independent,Liberal,Some college,,White,,Neither approve nor disapprove,Pro-Choice,DK/REF,He is an asshole.,,Oppose,Very Likely,Gone down,DK/REF,4,No,250,Accurate,Yes,No,
Female,67,65+,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Idiot,,Oppose,Very Likely,Gone down,FALSE,3,No,250,Too low,Yes,No,
Female,50,45-54,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Not qualified,,Oppose,Very Likely,DK/REF,DK/REF,3,No,999,DK/REF,Yes,No,
Female,30,25-34,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Asshat,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,Accurate,Yes,No,
Male,28,25-34,Independent,Liberal,College degree,,White,,Strongly Disapprove,Pro-life,Mix of conservatives and liberals,Probably manipulative,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,240,Too low,Yes,No,
Male,28,25-34,Democrat,Moderate,Some college,,Asian,,Somewhat Disapprove,Pro-life,Mix of conservatives and liberals,Twitter,,Oppose,Very Likely,Gone down,FALSE,3,No,260,Too low,Yes,No,
Female,62,55-64,Independent,Moderate,Graduate degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Controversy,,Oppose,Somewhat Likely,Stayed the same,FALSE,3,No,250,Accurate,Yes,DK/REF,
Male,30,25-34,Republican,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Freedom,,Support,Not at all likely,Gone down,FALSE,4,Yes,360,Too high,No,Yes,No
Male,67,65+,Republican,Conservative,Some college,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Appreciative,,Support,Somewhat Likely,Gone down,TRUE,3,Yes,250,Accurate,Yes,Yes,Yes
Female,65,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,DK/REF,Mostly Conservatives,Racist,,Oppose,Somewhat Likely,Stayed the same,DK/REF,999,No,999,Too high,No,No,
Female,59,55-64,Democrat,Conservative,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Arrogant,,Oppose,Very Likely,Stayed the same,DK/REF,3,No,170,Accurate,No,No,
Female,87,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-life,Mostly Conservatives,"An unfair, silly man or person",,Oppose,Not at all likely,Gone down,DK/REF,3,No,999,Too high,Yes,No,
Female,37,35-44,Democrat,Moderate,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Horrible,,Oppose,Very Likely,Gone down,FALSE,3,No,240,Accurate,Yes,No,
Female,50,45-54,Democrat,Moderate,College degree,,Black,,Strongly Disapprove,Pro-life,DK/REF,Crazy,,Oppose,Very Likely,DK/REF,TRUE,2,No,250,Too low,Yes,No,
Male,46,45-54,Democrat,Liberal,Some college,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Unstable,,Oppose,Very Likely,Stayed the same,FALSE,3,No,240,Accurate,No,No,
Female,27,25-34,Independent,DK/REF,Some college,,White,,DK/REF,Pro-life,Mostly Conservatives,The apprentice,,DK/REF,Very Likely,Stayed the same,TRUE,3,No,220,Accurate,Yes,Yes,No
Female,70,65+,Democrat,Liberal,College degree,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Liar,,Oppose,Very Likely,Gone down,FALSE,3,No,200,Accurate,Yes,No,
Female,52,45-54,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-life,Mostly Conservatives,Awful,,Oppose,Very Likely,Gone down,TRUE,5,No,260,Accurate,Yes,No,
Female,70,65+,Independent,DK/REF,High school or less,,White,,DK/REF,DK/REF,DK/REF,No comment,,Support,DK/REF,DK/REF,DK/REF,999,DK/REF,999,DK/REF,No,DK/REF,
Male,69,65+,Democrat,Moderate,College degree,,Black,,Somewhat Disapprove,DK/REF,Mostly Liberals,"That would be, why? Why is he the president?",,Oppose,Very Likely,Gone down,DK/REF,3,No,220,Too high,Yes,No,
Female,75,65+,Independent,Moderate,High school or less,,Black,,Somewhat Disapprove,Pro-life,Mostly Liberals,He is not a good president.,,Oppose,Very Likely,Gone down,TRUE,999,No,210,Accurate,No,No,
Female,39,35-44,Democrat,Liberal,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Asshole,,Oppose,Very Likely,Gone down,FALSE,3,No,239,Too low,Yes,No,
Female,70,65+,Democrat,Liberal,DK/REF,,Black,,Strongly Approve,Pro-Choice,Mostly Liberals,He is doing a good job.,,Support,Not at all likely,Stayed the same,TRUE,999,Yes,999,Accurate,No,Yes,Yes
Male,60,55-64,Independent,Moderate,High school or less,,White,,Strongly Approve,Pro-Choice,Mix of conservatives and liberals,Great,,Support,Not at all likely,Gone down,TRUE,3,Yes,240,Too high,Yes,Yes,No
Male,46,45-54,Independent,DK/REF,Some college,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,Hard butt,,Support,Not at all likely,Stayed the same,DK/REF,999,Yes,999,DK/REF,Yes,Yes,No
Female,74,65+,Democrat,Liberal,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Racist,,Support,Very Likely,Gone up,FALSE,3,No,240,Too low,Yes,No,
Female,60,55-64,DK/REF,Moderate,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Resign,,Support,Very Likely,Stayed the same,TRUE,1,No,240,Accurate,Yes,DK/REF,
Female,35,35-44,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-life,Mostly Conservatives,Racist,,Oppose,Very Likely,Gone up,FALSE,3,No,200,Accurate,Yes,No,
Female,74,65+,Democrat,Moderate,High school or less,,Black,,Strongly Disapprove,Pro-Choice,Mostly Liberals,I don't like him.,,Oppose,DK/REF,Gone down,DK/REF,2,No,999,DK/REF,DK/REF,No,
Female,53,45-54,Independent,Moderate,College degree,,White,,Strongly Approve,DK/REF,Mix of conservatives and liberals,Business,,DK/REF,DK/REF,Gone down,DK/REF,3,Yes,210,Accurate,Yes,Yes,DK/REF
Female,47,45-54,Democrat,Liberal,Graduate degree,,Black,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Asshole,,Oppose,Very Likely,Gone up,FALSE,3,No,215,Accurate,Yes,No,
Female,21,18-24,Democrat,Moderate,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mostly Conservatives,Loud,,Oppose,Somewhat Likely,Gone down,TRUE,2,No,270,Too low,Yes,No,
Female,66,65+,Democrat,Conservative,Some college,,Black,,Neither approve nor disapprove,Pro-life,Mix of conservatives and liberals,,DK/REF,Oppose,Somewhat Likely,Stayed the same,DK/REF,999,No,200,Accurate,Yes,DK/REF,
Female,49,45-54,Republican,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,President,,Support,Somewhat Likely,Stayed the same,FALSE,3,Yes,200,Accurate,Yes,Yes,Yes
Female,52,45-54,Democrat,Liberal,College degree,,White,,Neither approve nor disapprove,Pro-Choice,Mix of conservatives and liberals,Anger,,Oppose,Very Likely,Gone down,TRUE,3,No,180,Accurate,Yes,No,
Female,51,45-54,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Conservative,,Support,Not at all likely,Gone down,TRUE,3,Yes,180,Accurate,No,DK/REF,
Female,49,45-54,Democrat,Moderate,Some college,,White,,Strongly Disapprove,Pro-Choice,Mostly Conservatives,Idiot,,Oppose,Very Likely,Stayed the same,FALSE,2,No,230,Accurate,No,No,
Female,77,65+,Republican,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mostly Conservatives,President,,Support,Not at all likely,DK/REF,TRUE,999,No,999,Accurate,No,Yes,Yes
Female,53,45-54,DK/REF,Conservative,High school or less,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Leadership,,Support,DK/REF,Gone down,TRUE,3,Yes,230,Accurate,Yes,Yes,DK/REF
Female,54,45-54,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Success,,Support,DK/REF,Gone up,TRUE,2,No,230,Accurate,No,Yes,DK/REF
Female,80,65+,Democrat,Liberal,Graduate degree,,White,,Strongly Disapprove,Pro-Choice,Mostly Liberals,Immature,,Oppose,Very Likely,Stayed the same,FALSE,3,No,250,DK/REF,Yes,No,
Female,63,55-64,Independent,Conservative,Some college,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,USA,,Support,Not at all likely,Gone down,TRUE,2,DK/REF,220,Accurate,No,Yes,No
Male,63,55-64,Democrat,Moderate,College degree,,White,,Strongly Disapprove,Pro-Choice,Mix of conservatives and liberals,Disgrace,,Oppose,Very Likely,Stayed the same,FALSE,3,No,245,Too low,Yes,No,
Male,54,45-54,Republican,Liberal,High school or less,,White,,Somewhat Disapprove,Pro-Choice,DK/REF,Idiot,,Oppose,Very Likely,Gone up,FALSE,3,No,240,DK/REF,Yes,No,
Male,66,65+,Democrat,Conservative,High school or less,,White,,DK/REF,Pro-life,Mostly Conservatives,He stole in the election.,,Support,Very Likely,Gone up,FALSE,4,No,999,Too high,No,No,
Male,25,25-34,DK/REF,Moderate,High school or less,,White,,Somewhat Approve,DK/REF,Mostly Conservatives,,DK/REF,Oppose,DK/REF,Stayed the same,DK/REF,999,Yes,260,Accurate,Yes,DK/REF,
Male,50,45-54,Independent,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,President,,Support,Not at all likely,Stayed the same,DK/REF,999,No,200,Accurate,Yes,Yes,No
Male,62,55-64,Republican,Conservative,College degree,,White,,Strongly Approve,Pro-life,Mix of conservatives and liberals,Pride,,Support,Not at all likely,Gone down,TRUE,2,No,250,Accurate,No,Yes,DK/REF
Female,43,35-44,Democrat,Moderate,Some college,,Black,,Strongly Disapprove,Pro-Choice,DK/REF,Nothing,,Oppose,Very Likely,Gone down,FALSE,3,No,215,Accurate,Yes,No,
Male,54,45-54,Independent,Conservative,Some college,,White,,Somewhat Approve,Pro-life,Mostly Liberals,Businessman,,Support,Not at all likely,Gone up,TRUE,2,No,270,Too low,Yes,DK/REF,
DK/REF,62,55-64,DK/REF,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Liberals,Economy,,Support,Not at all likely,Gone down,FALSE,3,No,263,Accurate,Yes,DK/REF,
Female,71,65+,Republican,Conservative,High school or less,,White,,Somewhat Approve,Pro-life,Mostly Conservatives,He is not a straight conservative.,,Oppose,Somewhat Likely,Gone down,TRUE,3,No,210,Accurate,Yes,Yes,Yes
Female,48,45-54,Independent,Moderate,Graduate degree,,White,,Somewhat Approve,Pro-life,Mostly Liberals,Getting it done,,Support,DK/REF,Gone up,FALSE,3,No,245,Accurate,No,DK/REF,
Male,83,65+,DK/REF,Conservative,High school or less,,White,,Somewhat Approve,Pro-Choice,Mostly Conservatives,President of the United States,,DK/REF,Somewhat Likely,Gone up,TRUE,3,Yes,205,Too high,Yes,DK/REF,
Male,72,65+,DK/REF,Conservative,Graduate degree,,White,,Strongly Approve,Pro-life,Mostly Conservatives,Pro-Constitution,,Support,DK/REF,Gone down,DK/REF,3,No,200,DK/REF,Yes,Yes,No
